#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.030000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.538458     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
 -0.6700 0.3329E+00 0.5531E+00 0.2870E-01 0.3836E+00 0.2647E-01
 -0.6750 0.3354E+00 0.5550E+00 0.2801E-01 0.3741E+00 0.2623E-01
 -0.6800 0.3379E+00 0.5570E+00 0.2735E-01 0.3649E+00 0.2599E-01
 -0.6850 0.3404E+00 0.5589E+00 0.2671E-01 0.3560E+00 0.2576E-01
 -0.6900 0.3429E+00 0.5608E+00 0.2609E-01 0.3474E+00 0.2553E-01
 -0.6950 0.3454E+00 0.5626E+00 0.2549E-01 0.3390E+00 0.2530E-01
 -0.7000 0.3479E+00 0.5645E+00 0.2491E-01 0.3309E+00 0.2508E-01
 -0.7050 0.3504E+00 0.5664E+00 0.2434E-01 0.3231E+00 0.2486E-01
 -0.7100 0.3529E+00 0.5682E+00 0.2379E-01 0.3155E+00 0.2465E-01
 -0.7150 0.3554E+00 0.5701E+00 0.2326E-01 0.3081E+00 0.2443E-01
 -0.7200 0.3579E+00 0.5719E+00 0.2274E-01 0.3009E+00 0.2423E-01
 -0.7250 0.3604E+00 0.5738E+00 0.2224E-01 0.2940E+00 0.2402E-01
 -0.7300 0.3629E+00 0.5756E+00 0.2175E-01 0.2872E+00 0.2382E-01
 -0.7350 0.3654E+00 0.5774E+00 0.2128E-01 0.2807E+00 0.2362E-01
 -0.7400 0.3679E+00 0.5792E+00 0.2082E-01 0.2743E+00 0.2342E-01
 -0.7450 0.3704E+00 0.5811E+00 0.2037E-01 0.2682E+00 0.2323E-01
 -0.7500 0.3729E+00 0.5828E+00 0.1993E-01 0.2622E+00 0.2304E-01
 -0.7550 0.3754E+00 0.5846E+00 0.1951E-01 0.2564E+00 0.2285E-01
 -0.7600 0.3779E+00 0.5864E+00 0.1910E-01 0.2507E+00 0.2267E-01
 -0.7650 0.3804E+00 0.5882E+00 0.1870E-01 0.2452E+00 0.2249E-01
 -0.7700 0.3829E+00 0.5900E+00 0.1831E-01 0.2399E+00 0.2231E-01
 -0.7750 0.3854E+00 0.5917E+00 0.1793E-01 0.2347E+00 0.2213E-01
 -0.7800 0.3879E+00 0.5935E+00 0.1757E-01 0.2297E+00 0.2196E-01
 -0.7850 0.3904E+00 0.5952E+00 0.1721E-01 0.2248E+00 0.2179E-01
 -0.7900 0.3929E+00 0.5970E+00 0.1686E-01 0.2200E+00 0.2162E-01
 -0.7950 0.3954E+00 0.5987E+00 0.1652E-01 0.2153E+00 0.2145E-01
 -0.8000 0.3979E+00 0.6005E+00 0.1619E-01 0.2108E+00 0.2129E-01
 -0.8050 0.4004E+00 0.6022E+00 0.1587E-01 0.2064E+00 0.2113E-01
 -0.8100 0.4029E+00 0.6039E+00 0.1555E-01 0.2022E+00 0.2097E-01
 -0.8150 0.4054E+00 0.6056E+00 0.1525E-01 0.1980E+00 0.2081E-01
 -0.8200 0.4079E+00 0.6073E+00 0.1495E-01 0.1940E+00 0.2066E-01
 -0.8250 0.4104E+00 0.6090E+00 0.1466E-01 0.1900E+00 0.2051E-01
 -0.8300 0.4129E+00 0.6107E+00 0.1438E-01 0.1862E+00 0.2035E-01
 -0.8350 0.4154E+00 0.6124E+00 0.1410E-01 0.1824E+00 0.2021E-01
 -0.8400 0.4179E+00 0.6141E+00 0.1383E-01 0.1788E+00 0.2006E-01
 -0.8450 0.4204E+00 0.6157E+00 0.1357E-01 0.1752E+00 0.1992E-01
 -0.8500 0.4229E+00 0.6174E+00 0.1332E-01 0.1718E+00 0.1977E-01
 -0.8550 0.4254E+00 0.6190E+00 0.1307E-01 0.1684E+00 0.1963E-01
 -0.8600 0.4279E+00 0.6207E+00 0.1283E-01 0.1651E+00 0.1949E-01
 -0.8650 0.4304E+00 0.6224E+00 0.1259E-01 0.1619E+00 0.1936E-01
 -0.8700 0.4329E+00 0.6240E+00 0.1236E-01 0.1588E+00 0.1922E-01
 -0.8750 0.4354E+00 0.6256E+00 0.1213E-01 0.1557E+00 0.1909E-01
 -0.8800 0.4379E+00 0.6273E+00 0.1191E-01 0.1528E+00 0.1896E-01
 -0.8850 0.4404E+00 0.6289E+00 0.1170E-01 0.1499E+00 0.1883E-01
 -0.8900 0.4429E+00 0.6305E+00 0.1149E-01 0.1471E+00 0.1870E-01
 -0.8950 0.4454E+00 0.6321E+00 0.1128E-01 0.1443E+00 0.1857E-01
 -0.9000 0.4479E+00 0.6337E+00 0.1108E-01 0.1416E+00 0.1845E-01
 -0.9050 0.4504E+00 0.6353E+00 0.1089E-01 0.1390E+00 0.1832E-01
 -0.9100 0.4529E+00 0.6369E+00 0.1070E-01 0.1364E+00 0.1820E-01
 -0.9150 0.4554E+00 0.6385E+00 0.1051E-01 0.1339E+00 0.1808E-01
 -0.9200 0.4579E+00 0.6401E+00 0.1033E-01 0.1315E+00 0.1796E-01
 -0.9250 0.4604E+00 0.6417E+00 0.1015E-01 0.1291E+00 0.1785E-01
 -0.9300 0.4629E+00 0.6432E+00 0.9977E-02 0.1268E+00 0.1773E-01
