#*OUTPUT EVTP
#*EVENT NRS IN MEASUREMENT OF TPRIME DISTRIBUTION
#  0.10000E+07     ULUMI (1/NB)
#            2     IPN
#  2002.442000     SED
#     0.100000     X
#     0.020000     XBIN
#    17.500000     QQ
#     5.000000     QQBIN
#     1.000000     ALR
#     0.020000     ALRBIN
#     0.005000     TPBIN
#          200     NBIN
#    -0.004167     TP0 -- TMPMIN(ABS)
#    -0.004169     TP1 -- TMPMIN(ALR)
#     0.029265     RES
#     0.458118     F2N
#*
#*COL1  TP     TPRIME (GEV**2)
#*COL2  PR2    SQUARED RECOIL 3-MOM RF (GEV**2)
#*COL3  PTR    RECOIL TRANSVERSE MOMENTUM (GEV)
#*COL4  FSIG   TAGGED DIFF CROSS SECN (NB/GEV**4)
#*COL5  UNUM   EVENT NUMBER IN BIN
#*COL6  F2/SPOL   TAGGED F2/POLE FACTOR
  0.4100 0.2029E+00 0.4384E+00 0.2930E+00 0.7215E+00 0.4108E-01
  0.4150 0.2054E+00 0.4410E+00 0.2887E+00 0.6932E+00 0.4049E-01
  0.4200 0.2079E+00 0.4435E+00 0.2846E+00 0.6664E+00 0.3991E-01
  0.4250 0.2104E+00 0.4460E+00 0.2806E+00 0.6408E+00 0.3934E-01
  0.4300 0.2129E+00 0.4485E+00 0.2766E+00 0.6165E+00 0.3879E-01
  0.4350 0.2154E+00 0.4510E+00 0.2728E+00 0.5934E+00 0.3825E-01
  0.4400 0.2179E+00 0.4535E+00 0.2690E+00 0.5713E+00 0.3772E-01
  0.4450 0.2204E+00 0.4559E+00 0.2654E+00 0.5504E+00 0.3721E-01
  0.4500 0.2229E+00 0.4584E+00 0.2618E+00 0.5303E+00 0.3671E-01
  0.4550 0.2254E+00 0.4608E+00 0.2583E+00 0.5113E+00 0.3622E-01
  0.4600 0.2279E+00 0.4632E+00 0.2549E+00 0.4930E+00 0.3574E-01
  0.4650 0.2304E+00 0.4656E+00 0.2516E+00 0.4757E+00 0.3528E-01
  0.4700 0.2329E+00 0.4680E+00 0.2483E+00 0.4590E+00 0.3482E-01
  0.4750 0.2354E+00 0.4704E+00 0.2451E+00 0.4432E+00 0.3437E-01
  0.4800 0.2379E+00 0.4727E+00 0.2420E+00 0.4280E+00 0.3394E-01
  0.4850 0.2404E+00 0.4751E+00 0.2390E+00 0.4135E+00 0.3351E-01
  0.4900 0.2429E+00 0.4774E+00 0.2360E+00 0.3996E+00 0.3309E-01
  0.4950 0.2454E+00 0.4797E+00 0.2331E+00 0.3863E+00 0.3268E-01
  0.5000 0.2479E+00 0.4820E+00 0.2302E+00 0.3736E+00 0.3228E-01
  0.5050 0.2504E+00 0.4843E+00 0.2274E+00 0.3614E+00 0.3189E-01
